acquisition_channel,month,spend,campaign_type
Email,2025-01-01,3700,Lifecycle
Organic Search,2025-01-01,7391,SEO
Paid Search,2025-01-01,13433,Performance
Paid Social,2025-01-01,14460,Awareness
Partner,2025-01-01,5040,Partnerships
Referral,2025-01-01,3477,Referral Program
Email,2025-02-01,3875,Lifecycle
Organic Search,2025-02-01,7856,SEO
Paid Search,2025-02-01,13444,Performance
Paid Social,2025-02-01,16248,Awareness
Partner,2025-02-01,4887,Partnerships
Referral,2025-02-01,2732,Referral Program
Email,2025-03-01,4725,Lifecycle
Organic Search,2025-03-01,6674,SEO
Paid Search,2025-03-01,10808,Performance
Paid Social,2025-03-01,14188,Awareness
Partner,2025-03-01,6337,Partnerships
Referral,2025-03-01,2992,Referral Program
Email,2025-04-01,3328,Lifecycle
Organic Search,2025-04-01,6230,SEO
Paid Search,2025-04-01,12939,Performance
Paid Social,2025-04-01,16042,Awareness
Partner,2025-04-01,7273,Partnerships
Referral,2025-04-01,4757,Referral Program
Email,2025-05-01,4729,Lifecycle
Organic Search,2025-05-01,7462,SEO
Paid Search,2025-05-01,13232,Performance
Paid Social,2025-05-01,14259,Awareness
Partner,2025-05-01,6793,Partnerships
Referral,2025-05-01,2364,Referral Program
Email,2025-06-01,3961,Lifecycle
Organic Search,2025-06-01,5932,SEO
Paid Search,2025-06-01,12207,Performance
Paid Social,2025-06-01,14291,Awareness
Partner,2025-06-01,7169,Partnerships
Referral,2025-06-01,4169,Referral Program
